rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,set,rally_id
1,1.0,00:06:31,11754.0,1,0,A,1,發長球,,1.0,2.0,,,,1.0,3.0,829.0,634.0,,,,,8.0,5.548780487804878,-0.4479166666666667,8.0,6.975609756097561,0.46875,0,1,1,0
1,2.0,00:06:32,11788.0,1,0,B,2,點扣,,,1.0,3.0,829.0,634.0,2.0,6.0,779.0,363.0,,,,,9.0,7.475609756097561,0.8072916666666666,8.0,5.573170731707317,-0.5625,0,1,1,0
1,3.0,00:06:34,11825.0,1,0,A,2,擋小球,,1.0,2.0,6.0,779.0,363.0,2.0,1.0,782.0,482.0,,,,,8.0,5.939024390243903,-0.5208333333333334,8.0,7.317073170731708,0.765625,0,1,1,0
1,4.0,00:06:34,11830.0,1,0,B,2,放小球,,,2.0,1.0,782.0,482.0,2.0,2.0,808.0,421.0,,,,,8.0,6.829268292682927,0.25,8.0,5.7926829268292686,-0.5572916666666666,0,1,1,0
1,5.0,00:06:35,11854.0,1,0,A,2,放小球,,1.0,2.0,2.0,808.0,421.0,2.0,7.0,553.0,467.0,,,,,2.0,7.390243902439025,-0.375,8.0,6.548780487804878,0.296875,0,1,1,0
1,6.0,00:06:35,11879.0,1,0,B,3,挑球,,1.0,2.0,7.0,553.0,467.0,2.0,13.0,760.0,299.0,出界,對手出界,A,,7.0,4.963414634146342,0.125,8.0,6.012195121951219,-0.515625,0,1,1,0
2,2.0,00:06:54,12434.0,2,0,B,2,長球,,,1.0,,,,1.0,9.0,536.0,313.0,,,,,8.0,4.487804878048781,0.7083333333333334,8.0,5.109756097560975,-0.5572916666666666,0,1,1,1
2,3.0,00:06:55,12466.0,2,0,A,2,點扣,,,1.0,9.0,536.0,313.0,2.0,6.0,449.0,556.0,,,,,9.0,4.829268292682927,-0.75,8.0,5.414634146341464,0.6354166666666666,0,1,1,1
2,4.0,00:06:55,12478.0,2,0,B,2,擋小球,,1.0,2.0,6.0,449.0,556.0,2.0,1.0,463.0,397.0,,,,,8.0,5.865853658536586,0.5625,3.0,4.2439024390243905,-0.8072916666666666,0,1,1,1
2,5.0,00:06:56,12508.0,2,0,A,2,挑球,,,2.0,1.0,463.0,397.0,1.0,4.0,385.0,624.0,,,,,8.0,4.353658536585366,-0.4635416666666667,8.0,4.841463414634147,0.4427083333333333,0,1,1,1
2,6.0,00:06:58,12541.0,2,0,B,2,過度切球,,1.0,1.0,4.0,385.0,624.0,2.0,5.0,475.0,380.0,,,,,4.0,3.0365853658536586,0.8020833333333334,8.0,4.7560975609756095,-0.6041666666666666,0,1,1,1
2,7.0,00:06:58,12564.0,2,0,A,2,挑球,,,2.0,5.0,475.0,380.0,1.0,6.0,416.0,589.0,,,,,8.0,4.2317073170731705,-0.5052083333333334,8.0,4.585365853658536,0.5364583333333334,0,1,1,1
2,8.0,00:06:59,12588.0,2,0,B,2,點扣,,,1.0,6.0,416.0,589.0,2.0,6.0,762.0,356.0,,,,,8.0,4.146341463414634,0.578125,8.0,4.658536585365853,-0.5625,0,1,1,1
2,9.0,00:07:00,12606.0,2,0,A,2,擋小球,,1.0,2.0,6.0,762.0,356.0,2.0,1.0,807.0,474.0,,,,,8.0,4.658536585365853,-0.5625,8.0,3.9878048780487805,0.5833333333333334,0,1,1,1
2,10.0,00:07:01,12635.0,2,0,B,2,放小球,,,2.0,1.0,807.0,474.0,2.0,2.0,829.0,434.0,,,,,8.0,7.036585365853658,0.234375,8.0,6.219512195121951,-0.5625,0,1,1,1
2,11.0,00:07:02,12663.0,2,0,A,2,放小球,,1.0,2.0,2.0,829.0,434.0,2.0,1.0,848.0,456.0,,,,,2.0,7.609756097560975,-0.2864583333333333,8.0,6.878048780487805,0.2552083333333333,0,1,1,1
2,12.0,00:07:02,12685.0,2,0,B,3,挑球,,,2.0,1.0,848.0,456.0,2.0,12.0,1003.0,323.0,出界,對手出界,A,,1.0,7.7926829268292686,-0.020833333333333332,2.0,7.195121951219512,-0.296875,0,1,1,1
3,1.0,00:07:25,13362.0,3,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,698.0,483.0,,,,,8.0,5.536585365853658,-0.4479166666666667,8.0,6.963414634146342,0.4322916666666667,0,1,1,2
3,2.0,00:07:26,13385.0,3,0,B,2,放小球,,,2.0,7.0,698.0,483.0,2.0,7.0,516.0,427.0,,,,,7.0,6.2560975609756095,0.19791666666666666,8.0,5.7073170731707314,-0.4895833333333333,0,1,1,2
3,3.0,00:07:27,13411.0,3,0,A,2,挑球,,,2.0,7.0,516.0,427.0,1.0,9.0,516.0,634.0,,,,,7.0,4.682926829268292,-0.3697916666666667,8.0,5.597560975609756,0.24479166666666666,0,1,1,2
3,4.0,00:07:28,13446.0,3,0,B,2,長球,,,1.0,9.0,516.0,634.0,1.0,9.0,731.0,315.0,,,,,8.0,4.853658536585366,0.7291666666666666,8.0,5.280487804878049,-0.5989583333333334,0,1,1,2
3,5.0,00:07:29,13486.0,3,0,A,2,長球,,,1.0,9.0,731.0,315.0,1.0,4.0,416.0,620.0,,,,,9.0,6.280487804878049,-0.7708333333333334,8.0,6.182926829268292,0.4791666666666667,0,1,1,2
3,6.0,00:07:30,13523.0,3,0,B,2,長球,,1.0,1.0,4.0,416.0,620.0,1.0,9.0,595.0,324.0,,,,,6.0,3.5,0.6927083333333334,8.0,5.353658536585366,-0.6354166666666666,0,1,1,2
3,7.0,00:07:31,13555.0,3,0,A,2,殺球,,,1.0,9.0,595.0,324.0,2.0,8.0,639.0,561.0,,,,,8.0,5.134146341463414,-0.6666666666666666,8.0,5.536585365853658,0.5520833333333334,0,1,1,2
3,8.0,00:07:32,13566.0,3,0,B,3,擋小球,,,2.0,8.0,639.0,561.0,2.0,7.0,721.0,482.0,未過網,對手未過網,A,,8.0,6.2317073170731705,0.578125,8.0,4.560975609756097,-0.6822916666666666,0,1,1,2
4,1.0,00:07:59,14399.0,4,0,A,1,發長球,,1.0,2.0,,,,1.0,9.0,493.0,628.0,,,,,8.0,5.7926829268292686,-0.4270833333333333,8.0,4.7926829268292686,0.4583333333333333,0,1,1,3
4,2.0,00:08:01,14436.0,4,0,B,2,殺球,,,1.0,9.0,493.0,628.0,2.0,5.0,507.0,351.0,,,,,8.0,4.378048780487805,0.7239583333333334,8.0,5.0,-0.5885416666666666,0,1,1,3
4,3.0,00:08:01,14450.0,4,0,A,2,擋小球,,,2.0,5.0,507.0,351.0,1.0,7.0,698.0,504.0,,,,,8.0,4.7560975609756095,-0.59375,9.0,4.2073170731707314,0.796875,0,1,1,3
4,4.0,00:08:02,14476.0,4,0,B,2,放小球,,,1.0,7.0,698.0,504.0,2.0,7.0,764.0,431.0,,,,,8.0,5.890243902439025,0.2708333333333333,8.0,5.195121951219512,-0.625,0,1,1,3
4,5.0,00:08:03,14504.0,4,0,A,2,挑球,,1.0,2.0,7.0,764.0,431.0,1.0,4.0,463.0,644.0,,,,,7.0,6.7926829268292686,-0.375,8.0,6.2073170731707314,0.2916666666666667,0,1,1,3
4,6.0,00:08:04,14549.0,4,0,B,2,殺球,,,1.0,4.0,463.0,644.0,2.0,5.0,474.0,350.0,,,,,9.0,3.902439024390244,0.8489583333333334,8.0,4.987804878048781,-0.578125,0,1,1,3
4,7.0,00:08:05,14563.0,4,0,A,2,擋小球,,,2.0,5.0,474.0,350.0,1.0,2.0,428.0,491.0,,,,,8.0,4.7073170731707314,-0.6302083333333334,4.0,3.5,0.8125,0,1,1,3
4,8.0,00:08:06,14584.0,4,0,B,2,放小球,,1.0,1.0,2.0,428.0,491.0,2.0,1.0,476.0,399.0,,,,,8.0,4.024390243902439,0.24479166666666666,5.0,4.109756097560975,-0.5833333333333334,0,1,1,3
4,9.0,00:08:06,14609.0,4,0,A,2,挑球,,,2.0,1.0,476.0,399.0,1.0,4.0,387.0,635.0,,,,,8.0,4.2682926829268295,-0.4375,8.0,4.670731707317073,0.3229166666666667,0,1,1,3
4,10.0,00:08:08,14641.0,4,0,B,2,長球,1.0,,1.0,4.0,387.0,635.0,1.0,3.0,461.0,319.0,,,,,8.0,4.012195121951219,0.6927083333333334,8.0,4.841463414634147,-0.5989583333333334,0,1,1,3
4,11.0,00:08:08,14669.0,4,0,A,2,殺球,,,1.0,3.0,461.0,319.0,2.0,8.0,621.0,543.0,,,,,5.0,3.975609756097561,-0.6979166666666666,8.0,4.939024390243903,0.59375,0,1,1,3
4,12.0,00:08:09,14680.0,4,0,B,2,擋小球,,,2.0,8.0,621.0,543.0,1.0,8.0,692.0,383.0,,,,,8.0,5.621951219512195,0.5677083333333334,3.0,3.3292682926829267,-0.7395833333333334,0,1,1,3
4,13.0,00:08:10,14706.0,4,0,A,2,撲球,,1.0,1.0,8.0,692.0,383.0,2.0,6.0,474.0,543.0,,,,,8.0,6.060975609756097,-0.5104166666666666,8.0,5.512195121951219,0.4791666666666667,0,1,1,3
4,14.0,00:08:10,14721.0,4,0,B,3,擋小球,,1.0,2.0,6.0,474.0,543.0,2.0,1.0,414.0,437.0,未過網,對手未過網,A,,8.0,6.012195121951219,0.3854166666666667,8.0,5.7317073170731705,-0.4947916666666667,0,1,1,3
5,1.0,00:08:31,15335.0,5,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,686.0,504.0,,,,,8.0,5.560975609756097,-0.453125,8.0,6.975609756097561,0.453125,0,1,1,4
5,2.0,00:08:31,15358.0,5,0,B,2,挑球,,,2.0,7.0,686.0,504.0,1.0,3.0,517.0,320.0,,,,,7.0,5.987804878048781,0.18229166666666666,8.0,5.560975609756097,-0.4635416666666667,0,1,1,4
5,3.0,00:08:32,15385.0,5,0,A,2,後場抽平球,,,1.0,3.0,517.0,320.0,1.0,6.0,449.0,546.0,,,,,9.0,4.524390243902439,-0.765625,8.0,5.548780487804878,0.3177083333333333,0,1,1,4
5,4.0,00:08:33,15403.0,5,0,B,2,擋小球,,1.0,1.0,6.0,449.0,546.0,2.0,1.0,510.0,410.0,,,,,8.0,4.646341463414634,0.3854166666666667,8.0,4.658536585365853,-0.7083333333333334,0,1,1,4
5,5.0,00:08:34,15430.0,5,0,A,2,挑球,,,2.0,1.0,510.0,410.0,1.0,6.0,389.0,612.0,,,,,8.0,4.317073170731708,-0.4427083333333333,8.0,4.804878048780488,0.390625,0,1,1,4
5,6.0,00:08:35,15459.0,5,0,B,2,點扣,1.0,,1.0,6.0,389.0,612.0,2.0,6.0,760.0,350.0,,,,,8.0,4.2439024390243905,0.6354166666666666,8.0,4.939024390243903,-0.640625,0,1,1,4
5,7.0,00:08:35,15478.0,5,0,A,2,擋小球,,1.0,2.0,6.0,760.0,350.0,2.0,1.0,801.0,472.0,,,,,8.0,5.634146341463414,-0.59375,8.0,4.012195121951219,0.6354166666666666,0,1,1,4
5,8.0,00:08:36,15508.0,5,0,B,2,挑球,,,2.0,1.0,801.0,472.0,1.0,9.0,593.0,316.0,,,,,7.0,7.073170731707317,0.11979166666666667,8.0,6.463414634146342,-0.5625,0,1,1,4
5,9.0,00:08:38,15550.0,5,0,A,2,點扣,,,1.0,9.0,593.0,316.0,2.0,6.0,440.0,549.0,,,,,9.0,5.402439024390244,-0.7760416666666666,8.0,6.2439024390243905,0.3541666666666667,0,1,1,4
5,10.0,00:08:38,15564.0,5,0,B,2,擋小球,,1.0,2.0,6.0,440.0,549.0,2.0,7.0,754.0,397.0,,,,,8.0,6.146341463414634,0.484375,13.0,5.121951219512195,-0.8177083333333334,0,1,1,4
5,11.0,00:08:39,15594.0,5,0,A,2,推球,,1.0,2.0,7.0,754.0,397.0,1.0,5.0,802.0,566.0,,,,,8.0,6.548780487804878,-0.453125,8.0,5.2682926829268295,0.46875,0,1,1,4
5,12.0,00:08:40,15615.0,5,0,B,2,切球,,,1.0,5.0,802.0,566.0,2.0,2.0,812.0,399.0,,,,,8.0,6.439024390243903,0.53125,8.0,5.804878048780488,-0.5625,0,1,1,4
5,13.0,00:08:41,15641.0,5,0,A,2,挑球,,1.0,2.0,2.0,812.0,399.0,1.0,3.0,873.0,621.0,,,,,6.0,7.390243902439025,-0.4583333333333333,8.0,6.7073170731707314,0.3489583333333333,0,1,1,4
5,14.0,00:08:42,15676.0,5,0,B,2,殺球,,,1.0,3.0,873.0,621.0,2.0,6.0,811.0,343.0,,,,,5.0,7.670731707317073,0.6822916666666666,8.0,5.7317073170731705,-0.5885416666666666,0,1,1,4
